Date,Truworth,TFG
2006/10/09,2352,4579
2006/10/10,2429,4488
2006/10/11,2359,4568
2006/10/12,2361,4480
2006/10/13,2401,4519
2006/10/16,2450,4750
2006/10/17,2574,5000
2006/10/18,2660,5095
2006/10/19,2645,5001
2006/10/20,2646,5050
2006/10/23,2710,5030
2006/10/24,2660,4975
2006/10/25,2617,5068
2006/10/26,2600,5210
2006/10/27,2550,5246
2006/10/30,2541,5325
2006/10/31,2580,5300
2006/11/01,2620,5300
2006/11/02,2610,5325
2006/11/03,2660,5350
2006/11/06,2715,5449
2006/11/07,2752,5360
2006/11/08,2795,5484
2006/11/09,2799,5500
2006/11/10,2765,5501
2006/11/13,2713,5475
2006/11/14,2760,5550
2006/11/15,2785,5520
2006/11/16,2820,5500
2006/11/17,2809,5535
2006/11/20,2890,5650
2006/11/21,2901,5725
2006/11/22,2981,5900
2006/11/23,3026,5969
2006/11/24,2930,5840
2006/11/27,2975,5800
2006/11/28,2960,5700
2006/11/29,2970,5700
2006/11/30,2991,5650
2006/12/01,3001,5620
2006/12/04,3010,5650
2006/12/05,3010,5670
2006/12/06,2990,5700
2006/12/07,2991,5720
2006/12/08,2994,5650
2006/12/11,3000,5536
2006/12/12,2990,5490
2006/12/13,3001,5480
2006/12/14,3000,5561
2006/12/15,3000,5650
2006/12/18,3080,5700
2006/12/19,3055,5651
2006/12/20,3116,5660
2006/12/21,3132,5730
2006/12/22,3135,5720
2006/12/27,3200,5800
2006/12/28,3221,5825
2006/12/29,3204,5740
2007/01/02,3210,5785
2007/01/03,3185,5739
2007/01/04,3170,5749
2007/01/05,3130,5691
2007/01/09,3160,5810
2007/01/10,3120,5871
2007/01/11,3141,5995
2007/01/12,3171,6185
2007/01/15,3290,6300
2007/01/16,3435,6342
2007/01/17,3500,6350
2007/01/18,3551,6449
2007/01/19,3491,6501
2007/01/22,3520,6331
2007/01/23,3485,6230
2007/01/24,3492,6350
2007/01/25,3490,6299
2007/01/26,3471,6306
2007/01/29,3445,6324
2007/01/30,3386,6300
2007/01/31,3439,6250
2007/02/01,3400,6300
2007/02/02,3380,6150
2007/02/05,3300,6130
2007/02/06,3325,6245
2007/02/07,3390,6240
2007/02/08,3476,6350
2007/02/09,3565,6500
2007/02/12,3560,6593
2007/02/13,3712,6700
2007/02/14,3691,6734
2007/02/15,3620,6764
2007/02/16,3656,6730
2007/02/19,3650,6808
2007/02/20,3660,6790
2007/02/21,3570,6625
2007/02/22,3560,6810
2007/02/23,3600,6804
2007/02/26,3535,6730
2007/02/27,3498,6569
2007/02/28,3400,6512
2007/03/01,3350,6230
2007/03/02,3380,6345
2007/03/05,3210,6095
2007/03/06,3290,6235
2007/03/07,3375,6350
2007/03/08,3350,6410
2007/03/09,3301,6580
2007/03/12,3355,6650
2007/03/13,3340,6651
2007/03/14,3265,6476
2007/03/15,3275,6450
2007/03/16,3295,6450
2007/03/19,3380,6490
2007/03/20,3480,6616
2007/03/22,3580,6980
2007/03/23,3569,7000
2007/03/26,3494,6900
2007/03/27,3501,6825
2007/03/28,3630,6825
2007/03/29,3700,6901
2007/03/30,3550,6910
2007/04/02,3691,6901
2007/04/03,3635,6900
2007/04/04,3601,7020
2007/04/05,3585,7036
2007/04/10,3641,7100
2007/04/11,3675,7070
2007/04/12,3722,7040
2007/04/13,3740,7100
2007/04/16,3900,7251
2007/04/17,3850,7320
2007/04/18,3775,7219
2007/04/19,3715,7095
2007/04/20,3850,7150
2007/04/23,3875,7200
2007/04/24,3870,7230
2007/04/25,3870,7200
2007/04/26,3890,7400
2007/04/30,3926,7400
2007/05/02,4040,7510
2007/05/03,4170,7600
2007/05/04,4201,7635
2007/05/07,4152,7655
2007/05/08,4135,7650
2007/05/09,4123,7685
2007/05/10,4085,7595
2007/05/11,4101,7520
2007/05/14,4100,7431
2007/05/15,4000,7250
2007/05/16,3999,7185
2007/05/17,4054,7160
2007/05/18,4110,7241
2007/05/21,4161,7175
2007/05/22,4220,7211
2007/05/23,4300,7350
2007/05/24,4225,7320
2007/05/25,4200,7230
2007/05/28,4201,7230
2007/05/29,4165,7135
2007/05/30,4070,7080
2007/05/31,4150,7063
2007/06/01,4169,7080
2007/06/04,4030,6950
2007/06/05,3915,6850
2007/06/06,3795,6800
2007/06/07,3788,6800
2007/06/08,3680,6750
2007/06/11,3700,6750
2007/06/12,3700,6700
2007/06/13,3690,6605
2007/06/14,3675,6650
2007/06/15,3546,6460
2007/06/18,3600,6475
2007/06/19,3560,6480
2007/06/20,3645,6420
2007/06/21,3640,6349
2007/06/22,3600,6211
2007/06/25,3560,6135
2007/06/26,3530,6000
2007/06/27,3481,5989
2007/06/28,3500,6092
2007/06/29,3650,6101
2007/07/02,3642,6170
2007/07/03,3760,6240
2007/07/04,3765,6300
2007/07/05,3800,6290
2007/07/06,3800,6370
2007/07/09,3900,6338
2007/07/10,3845,6228
2007/07/11,3800,6100
2007/07/12,3780,6080
2007/07/13,3745,6050
2007/07/16,3725,6055
2007/07/17,3745,6025
2007/07/18,3730,6051
2007/07/19,3741,6135
2007/07/20,3750,6050
2007/07/23,3770,6115
2007/07/24,3685,6094
2007/07/25,3689,6080
2007/07/26,3600,6000
2007/07/27,3579,5930
2007/07/30,3600,5863
2007/07/31,3655,6050
2007/08/01,3560,5906
2007/08/02,3565,5915
2007/08/03,3594,5910
2007/08/06,3450,5751
2007/08/07,3485,5875
2007/08/08,3485,6005
2007/08/10,3485,5975
2007/08/13,3545,6100
2007/08/14,3535,6069
2007/08/15,3435,5978
2007/08/16,3300,5701
2007/08/17,3230,5660
2007/08/20,3249,5937
2007/08/21,3250,5830
2007/08/22,3275,5980
2007/08/23,3330,5856
2007/08/24,3286,5829
2007/08/27,3340,5865
2007/08/28,3300,5840
2007/08/29,3290,5730
2007/08/30,3295,5780
2007/08/31,3277,5795
2007/09/03,3375,5820
2007/09/04,3330,5740
2007/09/05,3340,5591
2007/09/06,3320,5340
2007/09/07,3310,5279
2007/09/10,3235,5340
2007/09/11,3350,5460
2007/09/12,3360,5500
2007/09/13,3290,5475
2007/09/14,3250,5365
2007/09/17,3290,5300
2007/09/18,3280,5345
2007/09/19,3299,5450
2007/09/20,3259,5355
2007/09/21,3160,5260
2007/09/25,3090,5210
2007/09/26,3150,5180
2007/09/27,3224,5240
2007/09/28,3161,5200
2007/10/01,3140,5200
2007/10/02,3230,5200
2007/10/03,3410,5390
2007/10/04,3540,5430
2007/10/05,3555,5535
2007/10/08,3500,5550
2007/10/09,3495,5520
2007/10/10,3550,5612
2007/10/11,3490,5560
2007/10/12,3410,5295
2007/10/15,3400,5100
2007/10/16,3400,5100
2007/10/17,3400,5300
2007/10/18,3371,5180
2007/10/19,3417,5130
2007/10/22,3360,5100
2007/10/23,3348,5240
2007/10/24,3350,5150
2007/10/25,3350,5118
2007/10/26,3389,5288
2007/10/29,3420,5350
2007/10/30,3399,5380
2007/10/31,3260,5305
2007/11/01,3251,5300
2007/11/02,3294,5200
2007/11/05,3320,5300
2007/11/06,3315,5375
2007/11/07,3335,5305
2007/11/08,3212,5295
2007/11/09,3300,5290
2007/11/12,3240,5245
2007/11/13,3201,5260
2007/11/14,3200,5245
2007/11/15,3175,5159
2007/11/16,3297,5190
2007/11/19,3155,5075
2007/11/20,3139,5050
2007/11/21,3080,4950
2007/11/22,3010,4881
2007/11/23,3000,4788
2007/11/26,2945,4756
2007/11/27,2875,4800
2007/11/28,2825,4801
2007/11/29,2775,4895
2007/11/30,2860,4830
2007/12/03,2820,4800
2007/12/04,2910,4630
2007/12/05,2830,4760
2007/12/06,2860,4850
2007/12/07,2900,4712
2007/12/10,2775,4600
2007/12/11,2750,4755
2007/12/12,2675,4737
2007/12/13,2715,4690
2007/12/14,2700,4612
2007/12/18,2640,4560
2007/12/19,2550,4475
2007/12/20,2525,4436
2007/12/21,2700,4600
2007/12/24,2699,4620
2007/12/27,2649,4811
2007/12/28,2700,4774
2007/12/31,2700,4830
2008/01/02,2765,4750
2008/01/03,2651,4700
2008/01/04,2595,4641
2008/01/07,2540,4625
2008/01/08,2695,4699
2008/01/09,2605,4581
2008/01/10,2646,4601
2008/01/11,2605,4410
2008/01/14,2602,4455
2008/01/15,2603,4549
2008/01/16,2555,4307
2008/01/17,2525,4220
2008/01/18,2674,4100
2008/01/21,2610,3980
2008/01/22,2690,4379
2008/01/23,2625,4300
2008/01/24,2686,4301
2008/01/25,2605,4245
2008/01/28,2510,4170
2008/01/29,2525,4215
2008/01/30,2500,4011
2008/01/31,2600,3950
2008/02/01,2495,3875
2008/02/04,2498,3930
2008/02/05,2405,3799
2008/02/06,2430,3925
2008/02/07,2375,3700
2008/02/08,2415,3700
2008/02/11,2450,3671
2008/02/12,2515,3820
2008/02/13,2550,3950
2008/02/14,2623,3975
2008/02/15,2625,3880
2008/02/18,2641,3999
2008/02/19,2686,4101
2008/02/20,2653,4095
2008/02/21,2770,4088
2008/02/22,2700,4100
2008/02/25,2683,4200
2008/02/26,2785,4321
2008/02/27,2766,4275
2008/02/28,2800,4310
2008/02/29,2651,4187
2008/03/03,2730,4000
2008/03/04,2730,4050
2008/03/05,2660,3901
2008/03/06,2619,3800
2008/03/07,2580,3844
2008/03/10,2502,3849
2008/03/11,2596,3900
2008/03/12,2629,3840
2008/03/13,2580,3840
2008/03/14,2600,3800
2008/03/17,2532,3650
2008/03/18,2500,3695
2008/03/19,2539,3700
2008/03/20,2465,3651
2008/03/25,2520,3825
2008/03/26,2499,3850
2008/03/27,2518,3900
2008/03/28,2510,3890
2008/03/31,2550,3851
2008/04/01,2689,3925
2008/04/02,2820,4000
2008/04/03,2780,3990
2008/04/04,2800,3980
