Date,Impla Plat,Anglo Plat
2007/02/09,20150,88400
2007/02/12,20550,90000
2007/02/13,21700,91800
2007/02/14,21500,92600
2007/02/15,20890,94001
2007/02/16,20600,98700
2007/02/19,20350,99700
2007/02/20,19775,97500
2007/02/21,19951,97500
2007/02/22,20600,101200
2007/02/23,21300,104301
2007/02/26,21630,108010
2007/02/27,21001,104800
2007/02/28,20600,103000
2007/03/01,20000,97600
2007/03/02,19900,98500
2007/03/05,19001,94800
2007/03/06,19350,96000
2007/03/07,19500,98000
2007/03/08,19801,101010
2007/03/09,20539,104000
2007/03/12,21000,102300
2007/03/13,20500,102500
2007/03/14,19950,101010
2007/03/15,20225,104500
2007/03/16,20700,102100
2007/03/19,21350,104800
2007/03/20,21500,105000
2007/03/22,21600,108000
2007/03/23,21999,108900
2007/03/26,22201,109000
2007/03/27,21850,107500
2007/03/28,22100,109500
2007/03/29,22451,112000
2007/03/30,22801,114450
2007/04/02,23101,116100
2007/04/03,22501,116800
2007/04/04,22840,117000
2007/04/05,22850,117000
2007/04/10,23520,119710
2007/04/11,23200,117100
2007/04/12,23400,120785
2007/04/13,24375,122000
2007/04/16,24800,126000
2007/04/17,24670,123000
2007/04/18,24550,121500
2007/04/19,24520,123800
2007/04/20,25100,125801
2007/04/23,25100,125900
2007/04/24,23999,123800
2007/04/25,23700,122600
2007/04/26,23525,119000
2007/04/30,23000,114501
2007/05/02,23331,117410
2007/05/03,22949,118500
2007/05/04,23675,119001
2007/05/07,23800,121900
2007/05/08,22900,122000
2007/05/09,23030,120000
2007/05/10,22700,120000
2007/05/11,22952,124300
2007/05/14,22400,121000
2007/05/15,22500,116200
2007/05/16,22400,117000
2007/05/17,22000,114606
2007/05/18,21900,113999
2007/05/21,22200,121000
2007/05/22,22200,121900
2007/05/23,22685,121800
2007/05/24,22279,122500
2007/05/25,21800,121200
2007/05/28,22050,120510
2007/05/29,21600,120800
2007/05/30,21825,119000
2007/05/31,21801,119375
2007/06/01,22100,122400
2007/06/04,22595,123000
2007/06/05,22600,121751
2007/06/06,22400,119250
2007/06/07,23401,119800
2007/06/08,22500,117600
2007/06/11,22387,118200
2007/06/12,22000,118000
2007/06/13,21749,118900
2007/06/14,22420,120200
2007/06/15,22700,122000
2007/06/18,23400,124500
2007/06/19,23879,128000
2007/06/20,24500,128400
2007/06/21,24099,129500
2007/06/22,23601,128500
2007/06/25,23199,124900
2007/06/26,22341,120100
2007/06/27,22118,119995
2007/06/28,22035,119299
2007/06/29,21600,116401
2007/07/02,22190,119949
2007/07/03,22506,119800
2007/07/04,23300,121500
2007/07/05,22810,121000
2007/07/06,22645,120000
2007/07/09,23300,122491
2007/07/10,22399,118000
2007/07/11,22400,116900
2007/07/12,22865,113500
2007/07/13,23015,110400
2007/07/16,22400,110550
2007/07/17,21950,108000
2007/07/18,21950,108600
2007/07/19,22701,109200
2007/07/20,22400,108600
2007/07/23,22700,109126
2007/07/24,22500,110000
2007/07/25,21900,109500
2007/07/26,21150,106999
2007/07/27,19900,99999
2007/07/30,20350,100900
2007/07/31,21000,98802
2007/08/01,20370,92600
2007/08/02,19990,91800
2007/08/03,19100,89995
2007/08/06,18400,86100
2007/08/07,19000,89201
2007/08/08,19900,91000
2007/08/10,19399,88400
2007/08/13,19800,90550
2007/08/14,18935,91900
2007/08/15,18399,90100
2007/08/16,18100,86900
2007/08/17,17800,89000
2007/08/20,18375,85000
2007/08/21,18450,83000
2007/08/22,18500,87300
2007/08/23,18561,89000
2007/08/24,18340,89700
2007/08/27,18850,92000
2007/08/28,19100,91500
2007/08/29,19525,91000
2007/08/30,20600,90010
2007/08/31,21210,95400
2007/09/03,21775,97400
2007/09/04,22450,102000
2007/09/05,21599,99000
2007/09/06,21500,99001
