Date,PPC,WHBO
2006/11/09,3750,7035
2006/11/10,3724,7035
2006/11/13,3705,6925
2006/11/14,3720,7000
2006/11/15,3750,6970
2006/11/16,3780,7000
2006/11/17,3730,7008
2006/11/20,3745,7020
2006/11/21,3730,7169
2006/11/22,3732.1,7325
2006/11/23,3760,7310
2006/11/24,3791.5,7325
2006/11/27,3720,7320
2006/11/28,3710,7293
2006/11/29,3750,7200
2006/11/30,3784.9,7305
2006/12/01,3819.9,7400
2006/12/04,3861.9,7375
2006/12/05,3920,7400
2006/12/06,3918,7450
2006/12/07,3838.1,7450
2006/12/08,3820,7350
2006/12/11,3786.2,7300
2006/12/12,3735,7300
2006/12/13,3760,7300
2006/12/14,3762.7,7340
2006/12/15,3840,7340
2006/12/18,3859,7300
2006/12/19,3860,7200
2006/12/20,3950.1,7300
2006/12/21,4020,7300
2006/12/22,3920,7300
2006/12/27,4018,7299
2006/12/28,4026,7300
2006/12/29,3880,7300
2007/01/02,3860,7295
2007/01/03,3800,7250
2007/01/04,3738.6,7203
2007/01/05,3735,7100
2007/01/09,3830,7100
2007/01/10,3847.1,7100
2007/01/11,3902,7100
2007/01/12,3820,7200
2007/01/15,3898,7256
2007/01/16,3917.5,7311
2007/01/17,3910,7530
2007/01/18,3967.4,7600
2007/01/19,3925,7600
2007/01/22,4000,7550
2007/01/23,4070,7550
2007/01/24,4231,7620
2007/01/25,4200,7700
2007/01/26,4199,7650
2007/01/29,4141,7650
2007/01/30,4230,7725
2007/01/31,4220,7850
2007/02/01,4220.1,7800
2007/02/02,4250,7820
2007/02/05,4220.5,7950
2007/02/06,4279,8004
2007/02/07,4220.5,8000
2007/02/08,4170,8050
2007/02/09,4175,8100
2007/02/12,4150,8050
2007/02/13,4140,8102
2007/02/14,4170,8250
2007/02/15,4295,8225
2007/02/16,4359.8,8230
2007/02/19,4450,8295
2007/02/20,4400,8250
2007/02/21,4271,8200
2007/02/22,4328,8402
2007/02/23,4310.1,8500
2007/02/26,4260,8600
2007/02/27,4200,8450
2007/02/28,4208.8,8500
2007/03/01,4190,8300
2007/03/02,4210,8350
2007/03/05,4075,8145
2007/03/06,4065,8200
2007/03/07,4115,8350
2007/03/08,4190,8299
2007/03/09,4350,8250
2007/03/12,4361,8160
2007/03/13,4410,7960
2007/03/14,4299.9,7840
2007/03/15,4400,7900
2007/03/16,4370,7995
2007/03/19,4495,7901
2007/03/20,4400,8080
2007/03/22,4500,8201
2007/03/23,4549,8269
2007/03/26,4549.9,8300
2007/03/27,4622,8270
2007/03/28,4560,8245
2007/03/29,4595,8250
2007/03/30,4720,8779
2007/04/02,4590,8500
2007/04/03,4619,8500
2007/04/04,4590,8799
2007/04/05,4630,8535
2007/04/10,4735,8700
2007/04/11,4650,8600
2007/04/12,4679.9,8600
2007/04/13,4690,8650
2007/04/16,4700,8600
2007/04/17,4752.4,8700
2007/04/18,4750.5,8700
2007/04/19,4735,8695
2007/04/20,4831.3,8950
2007/04/23,4900,9425
2007/04/24,4865,9185
2007/04/25,4880,9200
2007/04/26,4850,9200
2007/04/30,4841,9250
2007/05/02,4870.2,9250
2007/05/03,4897.5,9035
2007/05/04,4900,9068
2007/05/07,4898,9120
2007/05/08,4829.9,9150
2007/05/09,4765,9200
2007/05/10,4750,9205
2007/05/11,4917,9200
2007/05/14,4940,9150
2007/05/15,4910,9122
2007/05/16,4980,9200
2007/05/17,4920,9100
2007/05/18,5000,9150
2007/05/21,5085,9100
2007/05/22,5000,9201
2007/05/23,5080,9280
2007/05/24,5055,9350
2007/05/25,5100,9467
2007/05/28,5085,9498
2007/05/29,5080,9650
2007/05/30,5045,9484
2007/05/31,5050,9550
2007/06/01,5030,9705
2007/06/04,4979,9735
2007/06/05,5030.1,9900
2007/06/06,5050,10000
2007/06/07,5128,9900
2007/06/08,4980,9700
2007/06/11,4969.5,9838
2007/06/12,4925,9980
2007/06/13,4875,10109
2007/06/14,4949.9,10200
2007/06/15,4940,10850
2007/06/18,4930,10955
2007/06/19,4927,10720
2007/06/20,4910,10900
2007/06/21,4821.5,10900
2007/06/22,4810,10740
2007/06/25,4800,10600
2007/06/26,4810,10470
2007/06/27,4840,10400
2007/06/28,4880,10222
2007/06/29,4900,10335
2007/07/02,5000,10360
2007/07/03,5075,10415
2007/07/04,5150,10500
2007/07/05,5170,10675
2007/07/06,5110,10700
2007/07/09,5200,10850
2007/07/10,4985,10850
2007/07/11,4940,10850
2007/07/12,5040,10850
2007/07/13,5125,10900
2007/07/16,5210,10755
2007/07/17,5130,10800
2007/07/18,4890,10500
2007/07/19,4850,10700
2007/07/20,4840,10700
2007/07/23,4840,10700
2007/07/24,4698,10700
2007/07/25,4525,10850
2007/07/26,4360,10799
2007/07/27,4225,10500
2007/07/30,4210,10300
2007/07/31,4250,10250
2007/08/01,4140,9970
2007/08/02,4349,9982
2007/08/03,4305,9895
2007/08/06,4255,9790
2007/08/07,4420,9869
2007/08/08,4379,9900
2007/08/10,4111,9360
2007/08/13,4130,9370
2007/08/14,4150,9602
2007/08/15,4021,9605
2007/08/16,3805,9597
2007/08/17,3799,9599
2007/08/20,3975,9400
2007/08/21,4182,9300
2007/08/22,4350,9450
2007/08/23,4445,9600
2007/08/24,4450,9451
2007/08/27,4450,9580
2007/08/28,4419,9950
2007/08/29,4300,9950
2007/08/30,4449,10133
