Date,MMI,OldMutual
2006/10/27,1280,2373
2006/10/30,1260,2373
2006/10/31,1285,2399
2006/11/01,1330,2415
2006/11/02,1340,2419
2006/11/03,1335,2400
2006/11/06,1346,2434
2006/11/07,1340,2430
2006/11/08,1349,2450
2006/11/09,1370,2370
2006/11/10,1380,2402
2006/11/13,1365,2392
2006/11/14,1405,2364
2006/11/15,1400,2464
2006/11/16,1420,2481
2006/11/17,1400,2519
2006/11/20,1420,2530
2006/11/21,1435,2557
2006/11/22,1425,2527
2006/11/23,1420,2519
2006/11/24,1429,2483
2006/11/27,1420,2432
2006/11/28,1410,2356
2006/11/29,1400,2323
2006/11/30,1375,2364
2006/12/01,1411,2325
2006/12/04,1420,2320
2006/12/05,1424,2315
2006/12/06,1420,2295
2006/12/07,1415,2278
2006/12/08,1420,2290
2006/12/11,1395,2283
2006/12/12,1410,2291
2006/12/13,1421,2310
2006/12/14,1440,2330
2006/12/15,1452,2375
2006/12/18,1441,2318
2006/12/19,1451,2322
2006/12/20,1463,2370
2006/12/21,1460,2368
2006/12/22,1508,2360
2006/12/27,1508,2398
2006/12/28,1540,2400
2006/12/29,1500,2390
2007/01/02,1525,2419
2007/01/03,1505,2405
2007/01/04,1540,2365
2007/01/05,1500,2389
2007/01/09,1505,2508
2007/01/10,1495,2477
2007/01/11,1500,2473
2007/01/12,1520,2520
2007/01/15,1518,2533
2007/01/16,1510,2520
2007/01/17,1540,2491
2007/01/18,1580,2522
2007/01/19,1540,2488
2007/01/22,1553,2477
2007/01/23,1552,2450
2007/01/24,1564,2468
2007/01/25,1576,2480
2007/01/26,1560,2460
2007/01/29,1540,2460
2007/01/30,1535,2498
2007/01/31,1519,2458
2007/02/01,1544,2478
2007/02/02,1543,2480
2007/02/05,1490,2460
2007/02/06,1475,2509
2007/02/07,1510,2505
2007/02/08,1505,2490
2007/02/09,1520,2499
2007/02/12,1535,2511
2007/02/13,1525,2512
2007/02/14,1530,2541
2007/02/15,1525,2547
2007/02/16,1510,2525
2007/02/19,1525,2519
2007/02/20,1550,2525
2007/02/21,1550,2553
2007/02/22,1559,2575
2007/02/23,1559,2523
2007/02/26,1550,2623
2007/02/27,1541,2520
2007/02/28,1520,2490
2007/03/01,1500,2442
2007/03/02,1500,2441
2007/03/05,1475,2400
2007/03/06,1470,2400
2007/03/07,1499,2425
2007/03/08,1506,2427
2007/03/09,1520,2420
2007/03/12,1550,2420
2007/03/13,1550,2410
2007/03/14,1556,2328
2007/03/15,1589,2339
2007/03/16,1602,2355
2007/03/19,1627,2380
2007/03/20,1600,2394
2007/03/22,1605,2415
2007/03/23,1611,2380
2007/03/26,1615,2380
2007/03/27,1615,2379
2007/03/28,1610,2338
2007/03/29,1631,2340
2007/03/30,1485,2335
2007/04/02,1485,2376
2007/04/03,1480,2351
2007/04/04,1500,2359
2007/04/05,1500,2403
2007/04/10,1515,2428
2007/04/11,1503,2394
2007/04/12,1530,2410
2007/04/13,1540,2438
2007/04/16,1525,2464
2007/04/17,1525,2463
2007/04/18,1531,2450
2007/04/19,1520,2437
2007/04/20,1560,2470
2007/04/23,1560,2490
2007/04/24,1570,2486
2007/04/25,1607,2512
2007/04/26,1621,2510
2007/04/30,1680,2528
2007/05/02,1655,2543
2007/05/03,1630,2525
2007/05/04,1635,2550
2007/05/07,1636,2510
2007/05/08,1630,2450
2007/05/09,1640,2435
2007/05/10,1655,2441
2007/05/11,1660,2412
2007/05/14,1680,2409
2007/05/15,1670,2404
2007/05/16,1640,2422
2007/05/17,1624,2508
2007/05/18,1638,2505
2007/05/21,1660,2487
2007/05/22,1640,2475
2007/05/23,1640,2523
2007/05/24,1640,2503
2007/05/25,1635,2471
2007/05/28,1630,2476
2007/05/29,1630,2462
2007/05/30,1630,2449
2007/05/31,1625,2450
2007/06/01,1629,2495
2007/06/04,1600,2484
2007/06/05,1580,2510
2007/06/06,1573,2471
2007/06/07,1550,2415
2007/06/08,1525,2392
2007/06/11,1580,2420
2007/06/12,1560,2393
2007/06/13,1550,2444
2007/06/14,1576,2456
2007/06/15,1550,2519
2007/06/18,1572,2501
2007/06/19,1585,2480
2007/06/20,1570,2532
2007/06/21,1535,2510
2007/06/22,1550,2495
2007/06/25,1518,2470
2007/06/26,1516,2456
2007/06/27,1490,2405
2007/06/28,1472,2385
2007/06/29,1486,2374
2007/07/02,1488,2361
2007/07/03,1495,2370
2007/07/04,1490,2369
2007/07/05,1500,2368
2007/07/06,1500,2393
2007/07/09,1495,2410
2007/07/10,1486,2399
2007/07/11,1490,2399
2007/07/12,1500,2390
2007/07/13,1481,2470
2007/07/16,1496,2500
2007/07/17,1485,2475
2007/07/18,1470,2425
2007/07/19,1480,2478
2007/07/20,1527,2475
2007/07/23,1520,2472
2007/07/24,1512,2395
2007/07/25,1514,2390
2007/07/26,1454,2304
2007/07/27,1447,2260
2007/07/30,1465,2291
2007/07/31,1479,2327
2007/08/01,1447,2306
2007/08/02,1450,2350
2007/08/03,1406,2251
2007/08/06,1361,2250
2007/08/07,1400,2290
2007/08/08,1440,2399
2007/08/10,1395,2260
2007/08/13,1403,2301
2007/08/14,1390,2280
2007/08/15,1357,2250
2007/08/16,1350,2170
2007/08/17,1360,2190
2007/08/20,1390,2210
2007/08/21,1401,2195
2007/08/22,1410,2234
2007/08/23,1450,2262
2007/08/24,1440,2233
2007/08/27,1400,2298
2007/08/28,1390,2205
2007/08/29,1449,2242
2007/08/30,1449,2260
2007/08/31,1480,2298
2007/09/03,1480,2325
2007/09/04,1479,2306
2007/09/05,1449,2278
2007/09/06,1420,2237
2007/09/07,1450,2151
2007/09/10,1431,2136
2007/09/11,1435,2170
2007/09/12,1475,2133
2007/09/13,1485,2170
2007/09/14,1470,2160
2007/09/17,1466,2094
2007/09/18,1486,2120
2007/09/19,1525,2207
2007/09/20,1500,2187
2007/09/21,1518,2155
2007/09/25,1525,2163
2007/09/26,1489,2210
2007/09/27,1525,2240
2007/09/28,1520,2229
2007/10/01,1515,2232
2007/10/02,1550,2259
2007/10/03,1575,2378
2007/10/04,1550,2420
2007/10/05,1575,2403
2007/10/08,1575,2409
2007/10/09,1575,2402
2007/10/10,1574,2442
2007/10/11,1590,2464
2007/10/12,1619,2449
2007/10/15,1597,2426
2007/10/16,1589,2435
2007/10/17,1590,2372
2007/10/18,1600,2348
2007/10/19,1572,2330
2007/10/22,1580,2301
2007/10/23,1589,2360
2007/10/24,1597,2349
2007/10/25,1595,2400
2007/10/26,1600,2397
2007/10/29,1598,2433
2007/10/30,1590,2445
2007/10/31,1591,2496
2007/11/01,1590,2413
2007/11/02,1600,2400
2007/11/05,1605,2347
2007/11/06,1590,2368
2007/11/07,1581,2315
2007/11/08,1570,2225
2007/11/09,1550,2207
2007/11/12,1554,2305
2007/11/13,1550,2342
2007/11/14,1565,2320
2007/11/15,1561,2262
2007/11/16,1580,2221
2007/11/19,1551,2170
2007/11/20,1540,2185
2007/11/21,1500,2159
2007/11/22,1495,2187
2007/11/23,1510,2250
2007/11/26,1500,2234
2007/11/27,1500,2287
2007/11/28,1490,2340
2007/11/29,1522,2310
2007/11/30,1500,2335
2007/12/03,1505,2337
2007/12/04,1510,2298
2007/12/05,1485,2280
2007/12/06,1500,2284
2007/12/07,1515,2318
2007/12/10,1535,2360
2007/12/11,1580,2367
2007/12/12,1491,2399
2007/12/13,1540,2331
2007/12/14,1487,2305
2007/12/18,1450,2290
2007/12/19,1468,2252
2007/12/20,1408,2290
2007/12/21,1519,2362
2007/12/24,1460,2305
2007/12/27,1505,2365
2007/12/28,1482,2340
2007/12/31,1509,2291
2008/01/02,1469,2290
2008/01/03,1454,2253
2008/01/04,1433,2178
2008/01/07,1420,2168
2008/01/08,1420,2184
2008/01/09,1420,2110
2008/01/10,1425,2046
2008/01/11,1395,2032
2008/01/14,1400,2067
2008/01/15,1410,2047
2008/01/16,1362,2030
2008/01/17,1391,2059
2008/01/18,1371,1960
2008/01/21,1300,1826
2008/01/22,1350,1844
2008/01/23,1349,1821
2008/01/24,1400,1920
2008/01/25,1380,1918
2008/01/28,1340,1839
2008/01/29,1322,1835
2008/01/30,1360,1918
2008/01/31,1340,1824
2008/02/01,1400,1940
2008/02/04,1440,1958
2008/02/05,1375,1885
2008/02/06,1340,1873
2008/02/07,1315,1861
2008/02/08,1310,1836
