Date,Group5,WHBO
2006/10/18,3583,6350
2006/10/19,3500,6300
2006/10/20,3530,6350
2006/10/23,3650,6350
2006/10/24,3685,6350
2006/10/25,3725,6500
2006/10/26,3785,6800
2006/10/27,3900,7000
2006/10/30,3798,6900
2006/10/31,3777,6920
2006/11/01,3900,7000
2006/11/02,3960,6975
2006/11/03,4100,6950
2006/11/06,4090,6950
2006/11/07,4080,7006
2006/11/08,4100,7011
2006/11/09,4050,7035
2006/11/10,4000,7035
2006/11/13,3950,6925
2006/11/14,4095,7000
2006/11/15,4050,6970
2006/11/16,4100,7000
2006/11/17,4100,7008
2006/11/20,4125,7020
2006/11/21,4200,7169
2006/11/22,4225,7325
2006/11/23,4234,7310
2006/11/24,4150,7325
2006/11/27,4093,7320
2006/11/28,4085,7293
2006/11/29,4050,7200
2006/11/30,4050,7305
2006/12/01,4220,7400
2006/12/04,4200,7375
2006/12/05,4200,7400
2006/12/06,4190,7450
2006/12/07,4104,7450
2006/12/08,4110,7350
2006/12/11,4100,7300
2006/12/12,4110,7300
2006/12/13,4110,7300
2006/12/14,4200,7340
2006/12/15,4261,7340
2006/12/18,4300,7300
2006/12/19,4280,7200
2006/12/20,4300,7300
2006/12/21,4331,7300
2006/12/22,4357,7300
2006/12/27,4434,7299
2006/12/28,4485,7300
2006/12/29,4550,7300
2007/01/02,4550,7295
2007/01/03,4440,7250
2007/01/04,4300,7203
2007/01/05,4380,7100
2007/01/09,4385,7100
2007/01/10,4390,7100
2007/01/11,4350,7100
2007/01/12,4465,7200
2007/01/15,4580,7256
2007/01/16,4600,7311
2007/01/17,4875,7530
2007/01/18,4980,7600
2007/01/19,4900,7600
2007/01/22,4890,7550
2007/01/23,4925,7550
2007/01/24,4975,7620
2007/01/25,4949,7700
2007/01/26,4940,7650
2007/01/29,4900,7650
2007/01/30,4845,7725
2007/01/31,4920,7850
2007/02/01,4850,7800
2007/02/02,4890,7820
2007/02/05,4850,7950
2007/02/06,4870,8004
2007/02/07,4830,8000
2007/02/08,4780,8050
2007/02/09,4750,8100
2007/02/12,4825,8050
2007/02/13,4840,8102
2007/02/14,4975,8250
2007/02/15,5000,8225
2007/02/16,4899,8230
2007/02/19,4988,8295
2007/02/20,5000,8250
2007/02/21,5090,8200
2007/02/22,5500,8402
2007/02/23,5325,8500
2007/02/26,5300,8600
2007/02/27,5180,8450
2007/02/28,5100,8500
2007/03/01,5070,8300
2007/03/02,5000,8350
2007/03/05,4798,8145
2007/03/06,4901,8200
2007/03/07,5000,8350
2007/03/08,5102,8299
2007/03/09,5175,8250
2007/03/12,5164,8160
2007/03/13,5151,7960
2007/03/14,4980,7840
2007/03/15,4970,7900
2007/03/16,5000,7995
2007/03/19,5150,7901
2007/03/20,5300,8080
2007/03/22,5500,8201
2007/03/23,5700,8269
2007/03/26,5680,8300
2007/03/27,5599,8270
2007/03/28,5570,8245
2007/03/29,5670,8250
2007/03/30,5660,8779
2007/04/02,5740,8500
2007/04/03,5700,8500
2007/04/04,5595,8799
2007/04/05,5631,8535
2007/04/10,5680,8700
2007/04/11,5675,8600
2007/04/12,5650,8600
2007/04/13,5588,8650
2007/04/16,5580,8600
2007/04/17,5599,8700
2007/04/18,5599,8700
2007/04/19,5590,8695
2007/04/20,5575,8950
2007/04/23,5465,9425
2007/04/24,5310,9185
2007/04/25,5240,9200
2007/04/26,5270,9200
2007/04/30,5245,9250
2007/05/02,5244,9250
2007/05/03,5170,9035
2007/05/04,5400,9068
2007/05/07,5469,9120
2007/05/08,5300,9150
2007/05/09,5380,9200
2007/05/10,5425,9205
2007/05/11,5449,9200
2007/05/14,5470,9150
2007/05/15,5400,9122
2007/05/16,5545,9200
2007/05/17,5425,9100
2007/05/18,5600,9150
2007/05/21,5740,9100
2007/05/22,5749,9201
2007/05/23,5820,9280
2007/05/24,5950,9350
2007/05/25,5870,9467
2007/05/28,5800,9498
2007/05/29,5800,9650
2007/05/30,5740,9484
2007/05/31,5800,9550
2007/06/01,5950,9705
2007/06/04,5900,9735
2007/06/05,5719,9900
2007/06/06,5675,10000
2007/06/07,5730,9900
2007/06/08,5500,9700
2007/06/11,5675,9838
2007/06/12,5650,9980
2007/06/13,5789,10109
2007/06/14,5701,10200
2007/06/15,5845,10850
2007/06/18,5750,10955
2007/06/19,5700,10720
2007/06/20,5700,10900
2007/06/21,5555,10900
2007/06/22,5485,10740
2007/06/25,5310,10600
2007/06/26,5440,10470
2007/06/27,5300,10400
2007/06/28,5315,10222
2007/06/29,5440,10335
2007/07/02,5501,10360
2007/07/03,5625,10415
2007/07/04,5750,10500
2007/07/05,5925,10675
2007/07/06,5990,10700
2007/07/09,6161,10850
2007/07/10,6150,10850
2007/07/11,6160,10850
2007/07/12,6275,10850
2007/07/13,6398,10900
2007/07/16,6355,10755
2007/07/17,6430,10800
2007/07/18,6465,10500
2007/07/19,6610,10700
2007/07/20,6550,10700
2007/07/23,6539,10700
2007/07/24,6300,10700
2007/07/25,6299,10850
2007/07/26,6200,10799
2007/07/27,6010,10500
2007/07/30,6100,10300
2007/07/31,6400,10250
2007/08/01,6250,9970
2007/08/02,6180,9982
2007/08/03,6200,9895
2007/08/06,5890,9790
2007/08/07,5850,9869
2007/08/08,5845,9900
2007/08/10,5690,9360
2007/08/13,5700,9370
2007/08/14,5808,9602
2007/08/15,5720,9605
2007/08/16,5420,9597
2007/08/17,5400,9599
2007/08/20,5525,9400
2007/08/21,5475,9300
2007/08/22,5500,9450
2007/08/23,5548,9600
2007/08/24,5449,9451
2007/08/27,5419,9580
2007/08/28,5390,9950
2007/08/29,5330,9950
2007/08/30,5390,10133
2007/08/31,5539,10200
2007/09/03,5690,10289
2007/09/04,5640,10250
2007/09/05,5565,10225
2007/09/06,5498,10410
2007/09/07,5300,10855
2007/09/10,5285,10900
2007/09/11,5500,11150
2007/09/12,5590,11530
2007/09/13,5549,11890
2007/09/14,5389,11820
2007/09/17,5200,11810
2007/09/18,5400,11800
2007/09/19,5550,11820
2007/09/20,5370,11860
2007/09/21,5300,11860
2007/09/25,5295,11767
2007/09/26,5330,11600
2007/09/27,5500,11650
2007/09/28,5540,11900
2007/10/01,5530,12120
2007/10/02,5649,12245
2007/10/03,5825,12250
2007/10/04,5915,12600
2007/10/05,5905,12850
2007/10/08,6077,12908
2007/10/09,6120,12905
2007/10/10,6000,12471
2007/10/11,6170,12800
2007/10/12,6101,12495
2007/10/15,6215,12500
2007/10/16,6251,12470
