Date,M&R,WHBO
2008/05/13,8250,11920
2008/05/14,8790,12301
2008/05/15,9000,12452
2008/05/16,9000,12452
2008/05/19,9500,12900
2008/05/20,9490,13000
2008/05/21,9530,12701
2008/05/22,9550,12500
2008/05/23,9600,12419
2008/05/26,9350,12450
2008/05/27,9430,12898
2008/05/28,9300,12472
2008/05/29,8995,12250
2008/05/30,8800,12100
2008/06/02,8500,11980
2008/06/03,8751,11800
2008/06/04,8690,11700
2008/06/05,8800,11700
2008/06/06,8750,11800
2008/06/09,8570,11715
2008/06/10,8599,11800
2008/06/11,8501,11801
2008/06/12,9001,11985
2008/06/13,9050,11803
2008/06/17,8670,11775
2008/06/18,8685,11500
2008/06/19,8510,11320
2008/06/20,8517,11700
2008/06/23,8504,11450
2008/06/24,8495,11200
2008/06/25,8700,11200
2008/06/26,8571,11050
2008/06/27,8700,11000
2008/06/30,8699,11050
2008/07/01,8320,11200
2008/07/02,8440,11050
2008/07/03,8056,10855
2008/07/04,8000,10500
2008/07/07,7850,10550
2008/07/08,7851,10150
2008/07/09,7850,10300
2008/07/10,8060,10200
2008/07/11,7900,10260
2008/07/14,7950,10000
2008/07/15,7650,9500
2008/07/16,7900,9600
2008/07/17,8900,10377
2008/07/18,8521,10700
2008/07/21,8500,10800
2008/07/22,8560,10650
2008/07/23,8650,11000
2008/07/24,8900,11305
2008/07/25,8851,11200
2008/07/28,8895,11500
2008/07/29,9119,11295
2008/07/30,9495,11350
2008/07/31,9600,11600
2008/08/01,9044,11200
2008/08/04,9005,11200
2008/08/05,9188,11250
2008/08/06,9000,11470
2008/08/07,8610,11235
2008/08/08,9500,11200
2008/08/11,9310,11171
2008/08/12,9150,11600
2008/08/13,9200,12800
2008/08/14,9500,12800
2008/08/15,9398,12800
2008/08/18,9200,13000
2008/08/19,9050,12800
2008/08/20,9175,12499
2008/08/21,9020,12799
2008/08/22,9445,13000
