Date,Brait,SASFIN
2011/06/30,1654,3450
2011/07/01,1660,3450
2011/07/04,1660,3450
2011/07/05,1670,3470
2011/07/06,1695,3450
2011/07/07,1763,3425
2011/07/08,1785,3390
2011/07/11,1770,3390
2011/07/12,1760,3400
2011/07/13,1760,3400
2011/07/14,1760,3400
2011/07/15,1760,3400
2011/07/18,1750,3400
2011/07/19,1770,3325
2011/07/20,1768,3400
2011/07/21,1780,3400
2011/07/22,1786,3400
2011/07/25,1785,3315
2011/07/26,1786,3300
2011/07/27,1760,3315
2011/07/28,1769,3375
2011/07/29,1750,3400
2011/08/01,1750,3400
2011/08/02,1730,3350
2011/08/03,1745,3280
2011/08/04,1725,3400
2011/08/05,1700,3205
2011/08/08,1660,3205
2011/08/10,1679,3250
2011/08/11,1648,3300
2011/08/12,1690,3205
2011/08/15,1689,3211
2011/08/16,1712,3211
2011/08/17,1698,3212
2011/08/18,1685,3212
2011/08/19,1677,3220
2011/08/22,1684,3220
2011/08/23,1687,3220
2011/08/24,1665,3220
2011/08/25,1659,3220
2011/08/26,1661,3220
2011/08/29,1715,3250
2011/08/30,1725,3300
2011/08/31,1776,3275
2011/09/01,1759,3400
2011/09/02,1730,3375
2011/09/05,1714,3211
2011/09/06,1719,3255
2011/09/07,1719,3300
2011/09/08,1747,3250
2011/09/09,1750,3250
2011/09/12,1749,3200
2011/09/13,1747,3200
2011/09/14,1749,3051
2011/09/15,1757,3100
2011/09/16,1785,3050
2011/09/19,1747,2950
2011/09/20,1778,2950
2011/09/21,1775,3000
2011/09/22,1720,2975
2011/09/23,1732,3060
2011/09/26,1704,2950
2011/09/27,1740,2950
2011/09/28,1740,2950
2011/09/29,1745,2950
2011/09/30,1760,3060
2011/10/03,1757,3150
2011/10/04,1745,3150
2011/10/05,1799,3150
2011/10/06,1785,3150
2011/10/07,1815,3150
2011/10/10,1814,3080
2011/10/11,1815,3080
2011/10/12,1820,2950
2011/10/13,1829,2900
2011/10/14,1825,2900
2011/10/17,1830,2900
2011/10/18,1824,3099
2011/10/19,1833,3100
2011/10/20,1840,3095
2011/10/21,1839,2951
2011/10/24,1869,2951
2011/10/25,1879,2950
2011/10/26,1870,2951
2011/10/27,1876,2950
2011/10/28,1895,2951
2011/10/31,1900,2950
2011/11/01,1910,3000
2011/11/02,1924,2976
2011/11/03,1914,3000
2011/11/04,1907,3000
2011/11/07,1925,3050
2011/11/08,1955,3028
2011/11/09,1960,3025
2011/11/10,1959,3025
2011/11/11,1960,3025
2011/11/14,1943,2980
2011/11/15,1918,2950
2011/11/16,1899,2955
2011/11/17,1890,2960
2011/11/18,1875,2960
2011/11/21,1860,2810
2011/11/22,1850,2850
2011/11/23,1862,3035
2011/12/02,1862,3035
2011/12/05,1862,3035
2011/12/06,1862,3035
2011/12/07,1862,3035
2011/12/08,1862,3035
2011/12/09,1862,3035
2011/12/12,1862,3035
2011/12/13,1951,3000
2011/12/14,1952,2900
2011/12/15,2010,2850
2011/12/19,1945,2820
2011/12/20,1950,2819
2011/12/21,1940,2750
2011/12/22,1938,2700
2011/12/23,1968,2699
2011/12/28,1987,2700
2011/12/29,1988,2800
2011/12/30,1995,2800
2012/01/03,2010,2801
2012/01/04,1997,2855
2012/01/05,1982,2900
2012/01/06,1980,2950
2012/01/09,1988,2949
2012/01/10,1985,2949
2012/01/11,1986,2930
2012/01/12,1999,2940
2012/01/13,1990,2900
2012/01/16,1985,2900
2012/01/17,1976,2900
2012/01/18,1992,2900
2012/01/19,2010,2900
2012/01/20,2009,2900
2012/01/23,2003,2950
2012/01/24,2007,3000
2012/01/25,2005,2950
2012/01/26,1990,2950
2012/01/27,1996,2950
2012/01/30,1996,2950
2012/01/31,2000,2950
2012/02/01,2005,3000
2012/02/02,2004,3000
2012/02/03,2004,3000
2012/02/06,1998,3100
2012/02/07,1998,3080
2012/02/08,2001,3080
2012/02/09,2015,3050
2012/02/10,2030,3050
2012/02/13,2030,3051
2012/02/14,2030,3096
2012/02/15,2056,3100
2012/02/16,2075,3100
2012/02/17,2145,3100
2012/02/20,2165,3055
2012/02/21,2136,3100
2012/02/22,2129,3100
2012/02/23,2121,3055
2012/02/24,2140,3050
2012/02/27,2130,3050
2012/02/28,2118,3005
2012/02/29,2112,3050
2012/03/01,2107,3005
2012/03/02,2125,3080
2012/03/05,2118,3100
2012/03/06,2085,3005
2012/03/07,2090,3025
2012/03/08,2100,3031
2012/03/09,2106,3022
2012/03/12,2090,3050
2012/03/13,2091,3050
2012/03/14,2095,3049
2012/03/15,2080,3030
2012/03/16,2071,3050
2012/03/19,2082,3050
2012/03/20,2050,3050
2012/03/22,2050,3050
2012/03/23,2030,3040
2012/03/26,2062,3050
2012/03/27,2080,3055
2012/03/28,2078,3030
2012/03/29,2094,3025
2012/03/30,2081,3025
2012/04/02,2110,3041
2012/04/03,2146,3150
2012/04/04,2120,3200
2012/04/05,2110,3201
2012/04/10,2091,3201
2012/04/11,2110,3200
2012/04/12,2130,3100
2012/04/13,2140,3200
2012/04/16,2165,3200
2012/04/17,2216,3199
2012/04/18,2266,3150
2012/04/19,2295,3150
2012/04/20,2340,3155
2012/04/23,2333,3100
2012/04/24,2399,3100
2012/04/25,2425,3200
2012/04/26,2457,3200
2012/04/30,2435,3200
2012/05/02,2400,3150
2012/05/03,2383,3150
2012/05/04,2365,3150
2012/05/07,2399,3150
2012/05/08,2373,3150
2012/05/09,2351,3021
2012/05/10,2371,3145
2012/05/11,2360,3075
2012/05/14,2352,3050
2012/05/15,2360,3010
2012/05/16,2355,3050
2012/05/17,2390,3070
2012/05/18,2368,3100
2012/05/21,2366,3100
2012/05/22,2380,3100
2012/05/23,2350,3070
2012/05/24,2359,3070
2012/05/25,2423,3050
2012/05/28,2472,3100
2012/05/29,2480,3100
2012/05/30,2440,3100
2012/05/31,2469,3100
2012/06/01,2450,3100
2012/06/04,2435,3100
2012/06/05,2450,3100
2012/06/06,2450,3100
2012/06/07,2464,3115
2012/06/08,2462,3115
2012/06/11,2500,3150
2012/06/12,2540,3100
2012/06/13,2570,3100
2012/06/14,2640,3100
2012/06/15,2616,3100
2012/06/18,2650,3100
2012/06/19,2630,3100
2012/06/20,2650,3100
2012/06/21,2650,3100
2012/06/22,2623,3100
2012/06/25,2650,3100
2012/06/26,2585,3100
2012/06/27,2560,3100
2012/06/28,2500,3101
2012/06/29,2598,3101
2012/07/02,2585,3150
2012/07/03,2650,3151
2012/07/04,2660,3150
2012/07/05,2800,3150
2012/07/06,2752,3150
2012/07/09,2750,3150
2012/07/10,2835,3150
2012/07/11,2790,3150
2012/07/12,2775,3150
2012/07/13,2770,3150
2012/07/16,2800,3150
2012/07/17,2831,3150
2012/07/18,2862,3150
2012/07/19,2800,3150
2012/07/20,2792,3150
2012/07/23,2700,3140
2012/07/24,2800,3140
2012/07/25,2845,3100
2012/07/26,2842,3100
2012/07/27,2840,2995
2012/07/30,2850,2870
2012/07/31,2827,2885
2012/08/01,2780,2900
2012/08/02,2811,2950
2012/08/03,2860,2950
2012/08/06,2875,2950
2012/08/07,2890,2880
2012/08/08,2920,2950
2012/08/10,2899,2875
2012/08/13,2884,2875
2012/08/14,2830,2875
2012/08/15,2780,2875
2012/08/16,2817,2885
2012/08/17,2818,2800
2012/08/20,2821,2801
2012/08/21,2845,2801
2012/08/22,2840,2801
2012/08/23,2850,2800
2012/08/24,2840,2815
2012/08/27,2858,2815
2012/08/28,2850,2885
2012/08/29,2855,2850
2012/08/30,2874,2949
2012/08/31,2850,2949
2012/09/03,2867,2949
2012/09/04,2880,2820
2012/09/05,2863,2820
2012/09/06,2880,2801
2012/09/07,2873,2850
2012/09/10,2810,3000
2012/09/11,2860,3200
2012/09/12,2841,3200
2012/09/13,2895,3200
2012/09/14,2880,3200
2012/09/17,2863,3150
2012/09/18,2866,3100
2012/09/19,2860,3060
2012/09/20,2867,3032
2012/09/21,2892,3100
2012/09/25,2884,3090
2012/09/26,2890,3090
2012/09/27,2855,3090
2012/09/28,2940,3090
2012/10/01,2916,3050
2012/10/02,2971,3040
2012/10/03,3041,3075
2012/10/04,3030,3090
2012/10/05,3025,3080
2012/10/08,2948,3000
2012/10/09,2940,3000
2012/10/10,2982,3000
2012/10/11,3000,3015
2012/10/12,2986,3000
2012/10/15,3027,3000
2012/10/16,3133,3000
2012/10/17,3253,3100
2012/10/18,3319,3100
2012/10/19,3281,3026
2012/10/22,3380,3100
2012/10/23,3380,3101
2012/10/24,3400,3120
2012/10/25,3400,3121
2012/10/26,3365,3200
2012/10/29,3375,3225
2012/10/30,3485,3250
2012/10/31,3410,3240
2012/11/01,3622,3360
2012/11/02,3513,3360
2012/11/05,3510,3360
2012/11/06,3465,3370
2012/11/07,3470,3370
2012/11/08,3470,3370
2012/11/09,3476,3450
2012/11/12,3555,3450
2012/11/13,3587,3577
2012/11/14,3600,3450
