Date,Discovery,Sanlam
2007/01/04,2730,1880
2007/01/05,2719,1905
2007/01/09,2770,1990
2007/01/10,2846,1948
2007/01/11,2855,1950
2007/01/12,2880,1980
2007/01/15,2965,1975
2007/01/16,3041,1970
2007/01/17,3075,1970
2007/01/18,3150,1969
2007/01/19,3051,1944
2007/01/22,3060,1960
2007/01/23,3010,1943
2007/01/24,3000,1950
2007/01/25,2975,1961
2007/01/26,2960,1925
2007/01/29,3000,1880
2007/01/30,2999,1880
2007/01/31,3000,1865
2007/02/01,2851,1925
2007/02/02,2950,1893
2007/02/05,2971,1870
2007/02/06,2930,1895
2007/02/07,2892,1895
2007/02/08,2830,1866
2007/02/09,2830,1881
2007/02/12,2830,1876
2007/02/13,2915,1900
2007/02/14,2975,1920
2007/02/15,2970,1940
2007/02/16,2945,1939
2007/02/19,2934,1934
2007/02/20,2901,1986
2007/02/21,2901,1977
2007/02/22,3019,2000
2007/02/23,3119,1977
2007/02/26,3099,1980
2007/02/27,2990,1922
2007/02/28,2939,1895
2007/03/01,2895,1870
2007/03/02,2940,1870
2007/03/05,2831,1820
2007/03/06,2897,1830
2007/03/07,2900,1835
2007/03/08,2890,1909
2007/03/09,2999,1930
2007/03/12,2979,1929
2007/03/13,2910,1895
2007/03/14,2860,1865
2007/03/15,2901,1920
2007/03/16,2903,1920
2007/03/19,2905,1955
2007/03/20,2920,1970
2007/03/22,2919,1988
2007/03/23,2900,1991
2007/03/26,2900,2000
2007/03/27,2870,2004
2007/03/28,2856,2001
2007/03/29,2865,2000
2007/03/30,2880,2000
2007/04/02,2900,2041
2007/04/03,2980,2055
2007/04/04,2995,2080
2007/04/05,2980,2070
2007/04/10,3094,2110
2007/04/11,3007,2100
2007/04/12,3011,2105
2007/04/13,3020,2117
2007/04/16,3090,2150
2007/04/17,3090,2175
2007/04/18,3110,2199
2007/04/19,3200,2250
2007/04/20,3259,2175
2007/04/23,3230,2250
2007/04/24,3200,2201
2007/04/25,3200,2288
2007/04/26,3210,2405
2007/04/30,3270,2380
2007/05/02,3290,2281
2007/05/03,3315,2256
2007/05/04,3212,2351
2007/05/07,3225,2353
2007/05/08,3210,2251
2007/05/09,3210,2241
2007/05/10,3250,2236
2007/05/11,3220,2200
2007/05/14,3205,2250
2007/05/15,3220,2230
2007/05/16,3210,2215
2007/05/17,3210,2200
2007/05/18,3220,2182
2007/05/21,3220,2215
2007/05/22,3220,2246
2007/05/23,3200,2315
2007/05/24,3220,2301
2007/05/25,3199,2291
2007/05/28,3195,2299
2007/05/29,3190,2300
2007/05/30,3153,2274
2007/05/31,3145,2300
2007/06/01,3150,2321
2007/06/04,3110,2276
2007/06/05,3130,2279
2007/06/06,3156,2260
2007/06/07,3195,2285
2007/06/08,3165,2269
2007/06/11,3150,2331
2007/06/12,3138,2287
2007/06/13,3100,2267
2007/06/14,3115,2302
2007/06/15,3100,2300
2007/06/18,3088,2310
2007/06/19,3060,2300
2007/06/20,3079,2292
2007/06/21,3080,2265
2007/06/22,3079,2252
2007/06/25,2998,2242
2007/06/26,2990,2222
2007/06/27,2930,2195
2007/06/28,2933,2231
2007/06/29,2903,2249
2007/07/02,2900,2237
2007/07/03,2899,2215
2007/07/04,2889,2217
2007/07/05,2870,2196
2007/07/06,2895,2208
2007/07/09,2940,2225
2007/07/10,2970,2255
2007/07/11,2970,2250
2007/07/12,3047,2255
2007/07/13,3012,2277
2007/07/16,3035,2285
2007/07/17,3010,2289
2007/07/18,2995,2287
2007/07/19,2975,2315
2007/07/20,2973,2340
2007/07/23,2960,2373
2007/07/24,2940,2355
2007/07/25,2919,2328
2007/07/26,2820,2298
2007/07/27,2801,2280
2007/07/30,2825,2284
2007/07/31,2849,2291
2007/08/01,2760,2236
2007/08/02,2750,2248
2007/08/03,2710,2275
2007/08/06,2680,2190
2007/08/07,2650,2198
2007/08/08,2700,2240
2007/08/10,2695,2225
2007/08/13,2700,2226
2007/08/14,2650,2192
2007/08/15,2647,2126
2007/08/16,2600,2110
2007/08/17,2590,2101
2007/08/20,2550,2060
2007/08/21,2499,2080
2007/08/22,2500,2115
2007/08/23,2550,2090
2007/08/24,2554,2065
2007/08/27,2625,2075
2007/08/28,2640,2090
2007/08/29,2680,2116
2007/08/30,2630,2100
2007/08/31,2700,2156
2007/09/03,2700,2230
2007/09/04,2690,2250
2007/09/05,2660,2180
2007/09/06,2595,2152
2007/09/07,2650,2160
2007/09/10,2640,2178
2007/09/11,2665,2261
2007/09/12,2680,2220
2007/09/13,2625,2200
2007/09/14,2624,2189
2007/09/17,2625,2178
2007/09/18,2650,2214
2007/09/19,2650,2274
2007/09/20,2629,2262
2007/09/21,2585,2240
2007/09/25,2530,2247
2007/09/26,2570,2260
2007/09/27,2602,2252
2007/09/28,2640,2227
2007/10/01,2650,2225
2007/10/02,2640,2279
2007/10/03,2745,2360
2007/10/04,2701,2386
2007/10/05,2695,2341
2007/10/08,2720,2385
2007/10/09,2720,2364
2007/10/10,2789,2360
2007/10/11,2767,2390
2007/10/12,2788,2377
2007/10/15,2750,2340
2007/10/16,2727,2340
2007/10/17,2700,2360
2007/10/18,2700,2325
2007/10/19,2665,2323
2007/10/22,2645,2285
2007/10/23,2700,2271
2007/10/24,2730,2295
2007/10/25,2725,2355
2007/10/26,2785,2325
2007/10/29,2870,2368
2007/10/30,2834,2345
2007/10/31,2805,2370
2007/11/01,2810,2335
2007/11/02,2860,2340
2007/11/05,2860,2300
2007/11/06,2900,2350
2007/11/07,2875,2340
2007/11/08,2805,2351
2007/11/09,2800,2330
2007/11/12,2800,2312
2007/11/13,2795,2304
2007/11/14,2765,2344
2007/11/15,2788,2300
2007/11/16,2915,2283
2007/11/19,2781,2270
2007/11/20,2770,2300
2007/11/21,2840,2261
2007/11/22,2885,2250
2007/11/23,2930,2250
2007/11/26,2801,2250
2007/11/27,2750,2221
2007/11/28,2650,2260
2007/11/29,2750,2326
2007/11/30,2789,2338
2007/12/03,2685,2339
2007/12/04,2680,2330
2007/12/05,2700,2348
2007/12/06,2731,2350
2007/12/07,2676,2350
2007/12/10,2690,2367
2007/12/11,2700,2335
2007/12/12,2750,2330
