Date,Discovery,MMI
2007/05/25,3199,1635
2007/05/28,3195,1630
2007/05/29,3190,1630
2007/05/30,3153,1630
2007/05/31,3145,1625
2007/06/01,3150,1629
2007/06/04,3110,1600
2007/06/05,3130,1580
2007/06/06,3156,1573
2007/06/07,3195,1550
2007/06/08,3165,1525
2007/06/11,3150,1580
2007/06/12,3138,1560
2007/06/13,3100,1550
2007/06/14,3115,1576
2007/06/15,3100,1550
2007/06/18,3088,1572
2007/06/19,3060,1585
2007/06/20,3079,1570
2007/06/21,3080,1535
2007/06/22,3079,1550
2007/06/25,2998,1518
2007/06/26,2990,1516
2007/06/27,2930,1490
2007/06/28,2933,1472
2007/06/29,2903,1486
2007/07/02,2900,1488
2007/07/03,2899,1495
2007/07/04,2889,1490
2007/07/05,2870,1500
2007/07/06,2895,1500
2007/07/09,2940,1495
2007/07/10,2970,1486
2007/07/11,2970,1490
2007/07/12,3047,1500
2007/07/13,3012,1481
2007/07/16,3035,1496
2007/07/17,3010,1485
2007/07/18,2995,1470
2007/07/19,2975,1480
2007/07/20,2973,1527
2007/07/23,2960,1520
2007/07/24,2940,1512
2007/07/25,2919,1514
2007/07/26,2820,1454
2007/07/27,2801,1447
2007/07/30,2825,1465
2007/07/31,2849,1479
2007/08/01,2760,1447
2007/08/02,2750,1450
2007/08/03,2710,1406
2007/08/06,2680,1361
2007/08/07,2650,1400
2007/08/08,2700,1440
2007/08/10,2695,1395
2007/08/13,2700,1403
2007/08/14,2650,1390
2007/08/15,2647,1357
2007/08/16,2600,1350
2007/08/17,2590,1360
2007/08/20,2550,1390
2007/08/21,2499,1401
2007/08/22,2500,1410
2007/08/23,2550,1450
2007/08/24,2554,1440
2007/08/27,2625,1400
2007/08/28,2640,1390
2007/08/29,2680,1449
2007/08/30,2630,1449
2007/08/31,2700,1480
2007/09/03,2700,1480
2007/09/04,2690,1479
2007/09/05,2660,1449
2007/09/06,2595,1420
2007/09/07,2650,1450
2007/09/10,2640,1431
2007/09/11,2665,1435
2007/09/12,2680,1475
2007/09/13,2625,1485
2007/09/14,2624,1470
2007/09/17,2625,1466
2007/09/18,2650,1486
2007/09/19,2650,1525
2007/09/20,2629,1500
2007/09/21,2585,1518
2007/09/25,2530,1525
2007/09/26,2570,1489
2007/09/27,2602,1525
2007/09/28,2640,1520
2007/10/01,2650,1515
2007/10/02,2640,1550
2007/10/03,2745,1575
2007/10/04,2701,1550
2007/10/05,2695,1575
2007/10/08,2720,1575
2007/10/09,2720,1575
2007/10/10,2789,1574
2007/10/11,2767,1590
2007/10/12,2788,1619
2007/10/15,2750,1597
2007/10/16,2727,1589
2007/10/17,2700,1590
2007/10/18,2700,1600
2007/10/19,2665,1572
2007/10/22,2645,1580
2007/10/23,2700,1589
2007/10/24,2730,1597
2007/10/25,2725,1595
2007/10/26,2785,1600
2007/10/29,2870,1598
2007/10/30,2834,1590
2007/10/31,2805,1591
2007/11/01,2810,1590
2007/11/02,2860,1600
2007/11/05,2860,1605
2007/11/06,2900,1590
2007/11/07,2875,1581
2007/11/08,2805,1570
2007/11/09,2800,1550
2007/11/12,2800,1554
2007/11/13,2795,1550
2007/11/14,2765,1565
2007/11/15,2788,1561
2007/11/16,2915,1580
2007/11/19,2781,1551
2007/11/20,2770,1540
2007/11/21,2840,1500
2007/11/22,2885,1495
2007/11/23,2930,1510
2007/11/26,2801,1500
2007/11/27,2750,1500
2007/11/28,2650,1490
2007/11/29,2750,1522
2007/11/30,2789,1500
2007/12/03,2685,1505
2007/12/04,2680,1510
2007/12/05,2700,1485
2007/12/06,2731,1500
2007/12/07,2676,1515
2007/12/10,2690,1535
2007/12/11,2700,1580
2007/12/12,2750,1491
2007/12/13,2749,1540
2007/12/14,2651,1487
2007/12/18,2615,1450
2007/12/19,2670,1468
2007/12/20,2640,1408
2007/12/21,2715,1519
2007/12/24,2725,1460
2007/12/27,2725,1505
2007/12/28,2715,1482
2007/12/31,2713,1509
2008/01/02,2730,1469
2008/01/03,2700,1454
2008/01/04,2690,1433
2008/01/07,2635,1420
2008/01/08,2645,1420
2008/01/09,2640,1420
2008/01/10,2560,1425
2008/01/11,2560,1395
2008/01/14,2630,1400
2008/01/15,2530,1410
2008/01/16,2451,1362
2008/01/17,2400,1391
2008/01/18,2395,1371
2008/01/21,2360,1300
2008/01/22,2410,1350
2008/01/23,2360,1349
2008/01/24,2367,1400
2008/01/25,2400,1380
2008/01/28,2336,1340
2008/01/29,2352,1322
2008/01/30,2390,1360
2008/01/31,2380,1340
2008/02/01,2384,1400
2008/02/04,2470,1440
2008/02/05,2339,1375
2008/02/06,2300,1340
2008/02/07,2250,1315
2008/02/08,2276,1310
2008/02/11,2210,1250
2008/02/12,2210,1275
2008/02/13,2199,1300
2008/02/14,2278,1310
2008/02/15,2301,1300
2008/02/18,2440,1300
2008/02/19,2450,1320
2008/02/20,2360,1299
2008/02/21,2360,1300
2008/02/22,2323,1300
2008/02/25,2390,1300
2008/02/26,2575,1365
2008/02/27,2620,1380
2008/02/28,2700,1390
2008/02/29,2740,1440
2008/03/03,2755,1380
2008/03/04,2690,1281
2008/03/05,2620,1295
2008/03/06,2520,1304
2008/03/07,2400,1295
2008/03/10,2375,1300
2008/03/11,2365,1317
2008/03/12,2429,1365
2008/03/13,2405,1330
2008/03/14,2400,1310
2008/03/17,2300,1296
2008/03/18,2400,1300
2008/03/19,2390,1285
2008/03/20,2300,1305
2008/03/25,2395,1379
2008/03/26,2454,1420
