Date,M&R,AVENGE
2006/11/16,3770,3225
2006/11/17,3790,3215
2006/11/20,3810,3235
2006/11/21,3850,3349
2006/11/22,3865,3289
2006/11/23,3880,3266
2006/11/24,3850,3299
2006/11/27,3875,3250
2006/11/28,3800,3220
2006/11/29,3815,3240
2006/11/30,3900,3275
2006/12/01,4150,3450
2006/12/04,4050,3400
2006/12/05,4135,3400
2006/12/06,4105,3463
2006/12/07,4017,3435
2006/12/08,4035,3435
2006/12/11,4030,3359
2006/12/12,3950,3325
2006/12/13,3940,3250
2006/12/14,3970,3231
2006/12/15,3960,3190
2006/12/18,3950,3235
2006/12/19,3914,3235
2006/12/20,3960,3235
2006/12/21,4000,3235
2006/12/22,4006,3270
2006/12/27,4030,3320
2006/12/28,4011,3360
2006/12/29,4010,3360
2007/01/02,4040,3339
2007/01/03,4006,3300
2007/01/04,4011,3290
2007/01/05,3990,3270
2007/01/09,4010,3250
2007/01/10,3995,3250
2007/01/11,4040,3280
2007/01/12,4124,3295
2007/01/15,4135,3290
2007/01/16,4309,3335
2007/01/17,4500,3580
2007/01/18,4570,3671
2007/01/19,4520,3540
2007/01/22,4500,3650
2007/01/23,4575,3799
2007/01/24,4675,3881
2007/01/25,4740,3990
2007/01/26,4780,3996
2007/01/29,4770,3960
2007/01/30,4650,3869
2007/01/31,4725,3865
2007/02/01,4800,3780
2007/02/02,4780,3800
2007/02/05,4700,3680
2007/02/06,4675,3600
2007/02/07,4725,3619
2007/02/08,4750,3639
2007/02/09,4900,3700
2007/02/12,4850,3660
2007/02/13,4881,3685
2007/02/14,4960,3760
2007/02/15,5125,3861
2007/02/16,5311,3940
2007/02/19,5435,4030
2007/02/20,5440,4028
2007/02/21,5305,4080
2007/02/22,5410,4100
2007/02/23,5400,4103
2007/02/26,5415,4140
2007/02/27,5480,4025
2007/02/28,5360,3950
2007/03/01,5301,3870
2007/03/02,5230,3780
2007/03/05,5060,3695
2007/03/06,5230,3924
2007/03/07,5410,4030
2007/03/08,5485,4100
