Date,PSG,Brait
2006/03/03,2450,2355
2006/03/06,2380,2350
2006/03/07,2150,2390
2006/03/08,2050,2300
2006/03/09,2100,2200
2006/03/10,2150,2250
2006/03/13,2195,2325
2006/03/14,2170,2350
2006/03/15,2190,2380
2006/03/16,2197,2400
2006/03/17,2100,2505
2006/03/20,2195,2575
2006/03/22,2270,2610
2006/03/23,2230,2625
2006/03/24,2201,2550
2006/03/27,2200,2550
2006/03/28,2200,2450
2006/03/29,2240,2500
2006/03/30,2270,2513
2006/03/31,2350,2500
2006/04/03,2367,2500
2006/04/04,2360,2450
2006/04/05,2380,2440
2006/04/06,2380,2400
2006/04/07,2340,2399
2006/04/10,2350,2360
2006/04/11,2375,2350
2006/04/12,2400,2363
2006/04/13,2380,2390
2006/04/18,2420,2401
2006/04/19,2395,2450
2006/04/20,2265,2500
2006/04/21,2275,2475
2006/04/24,2215,2475
2006/04/25,2160,2500
2006/04/26,2135,2500
2006/04/28,2100,2499
2006/05/02,2022,2498
2006/05/03,1998,2500
2006/05/04,1965,2520
2006/05/05,1957,2580
2006/05/08,2011,2550
2006/05/09,2100,2650
2006/05/10,2245,2650
2006/05/11,2275,2685
2006/05/12,2220,2575
2006/05/15,2010,2470
2006/05/16,2100,2525
2006/05/17,2080,2500
2006/05/18,2089,2490
2006/05/19,2100,2460
2006/05/22,2040,2371
2006/05/23,2020,2480
2006/05/24,2000,2500
2006/05/25,1955,2480
2006/05/26,1980,2500
2006/05/29,1975,2550
2006/05/30,1950,2552
2006/05/31,1920,2520
2006/06/01,1861,2525
2006/06/02,1950,2480
2006/06/05,1950,2470
2006/06/06,1910,2401
2006/06/07,1850,2320
2006/06/08,1600,2300
2006/06/09,1728,2200
2006/06/12,1700,2200
2006/06/13,1590,2100
2006/06/14,1570,2090
2006/06/15,1640,2100
2006/06/19,1755,2150
2006/06/20,1850,2100
2006/06/21,1950,2160
2006/06/22,1900,2150
2006/06/23,1840,2149
2006/06/26,1800,2089
2006/06/27,1810,2099
2006/06/28,1880,2050
2006/06/29,1920,2123
2006/06/30,2000,2150
2006/07/03,2030,2150
2006/07/04,2036,2149
2006/07/05,2041,2050
2006/07/06,2050,2040
2006/07/07,2100,2100
2006/07/10,2100,2110
2006/07/11,2100,2100
2006/07/12,2110,2070
2006/07/13,2070,2050
2006/07/14,2040,2050
2006/07/17,2005,2040
2006/07/18,2000,2032
2006/07/19,2050,2050
2006/07/20,2000,2051
2006/07/21,2000,2060
2006/07/24,2030,2060
2006/07/25,2030,2166
2006/07/26,2100,2219
2006/07/27,2150,2180
2006/07/28,2130,2190
2006/07/31,2150,2200
2006/08/01,2140,2195
2006/08/02,2100,2185
2006/08/03,2075,2185
2006/08/04,2065,2050
2006/08/07,2000,2039
2006/08/08,2040,2000
2006/08/10,2030,2020
2006/08/11,2040,2070
2006/08/14,2100,2135
2006/08/15,2050,2130
2006/08/16,1998,2086
2006/08/17,2005,2097
2006/08/18,2050,2100
2006/08/21,2050,2135
2006/08/22,2049,2125
2006/08/23,2015,2100
2006/08/24,2040,2105
2006/08/25,2030,2100
2006/08/28,2030,2106
2006/08/29,2020,2125
2006/08/30,2100,2110
2006/08/31,2200,2175
2006/09/01,2275,2210
2006/09/04,2320,2300
2006/09/05,2340,2290
2006/09/06,2400,2270
2006/09/07,2355,2200
2006/09/08,2345,2175
2006/09/11,2274,2100
2006/09/12,2350,2080
2006/09/13,2370,2080
2006/09/14,2365,2060
2006/09/15,2480,2100
2006/09/18,2415,2130
2006/09/19,2415,2121
2006/09/20,2400,2106
2006/09/21,2400,2121
2006/09/22,2390,2125
2006/09/26,2344,2130
2006/09/27,2360,2100
2006/09/28,2370,2100
2006/09/29,2379,2125
2006/10/02,2210,2115
2006/10/03,2200,2075
2006/10/04,2100,2100
2006/10/05,2100,2110
2006/10/06,2115,2100
2006/10/09,2175,2100
2006/10/10,2181,2194
2006/10/11,2225,2165
2006/10/12,2290,2176
2006/10/13,2400,2165
2006/10/16,2400,2165
2006/10/17,2339,2180
2006/10/18,2275,2185
2006/10/19,2270,2285
2006/10/20,2252,2287
2006/10/23,2280,2270
2006/10/24,2261,2320
2006/10/25,2231,2320
2006/10/26,2210,2319
2006/10/27,2273,2300
2006/10/30,2260,2280
2006/10/31,2294,2300
2006/11/01,2299,2310
2006/11/02,2290,2395
2006/11/03,2300,2310
2006/11/06,2345,2286
2006/11/07,2339,2297
2006/11/08,2320,2300
2006/11/09,2299,2285
2006/11/10,2320,2330
2006/11/13,2314,2365
2006/11/14,2295,2345
2006/11/15,2345,2380
2006/11/16,2360,2380
2006/11/17,2385,2380
2006/11/20,2360,2300
2006/11/21,2435,2300
2006/11/22,2420,2310
2006/11/23,2445,2310
2006/11/24,2450,2350
2006/11/27,2425,2390
2006/11/28,2380,2375
2006/11/29,2390,2399
2006/11/30,2445,2405
2006/12/01,2520,2400
2006/12/04,2635,2375
2006/12/05,2620,2400
2006/12/06,2530,2435
2006/12/07,2590,2425
2006/12/08,2570,2410
2006/12/11,2540,2390
2006/12/12,2560,2380
2006/12/13,2650,2390
2006/12/14,2700,2370
2006/12/15,2690,2400
2006/12/18,2720,2400
2006/12/19,2760,2405
2006/12/20,2720,2460
2006/12/21,2700,2450
2006/12/22,2699,2475
2006/12/27,2693,2499
2006/12/28,2700,2525
2006/12/29,2700,2550
2007/01/02,2670,2545
2007/01/03,2699,2515
2007/01/04,2660,2500
2007/01/05,2700,2515
2007/01/09,2696,2606
2007/01/10,2750,2650
2007/01/11,2775,2705
2007/01/12,2822,2800
2007/01/15,2900,2855
2007/01/16,2865,2935
2007/01/17,2870,2900
2007/01/18,2865,2930
2007/01/19,2870,2905
2007/01/22,2899,2900
2007/01/23,2875,2929
2007/01/24,2875,2910
2007/01/25,2800,2930
2007/01/26,2766,2930
2007/01/29,2715,2920
2007/01/30,2810,2930
2007/01/31,2760,2970
2007/02/01,2800,3100
2007/02/02,2740,3170
2007/02/05,2700,3070
2007/02/06,2740,3150
2007/02/07,2725,3120
